cycle_id,broad_episode_id,panel_month,macro_state_period,INDPRO_YOY,RT_IPT_YOY,RT_IPT_VINTAGE_PERIOD,GOLD_FWD_6M_RET,GOLD_FWD_6M_MDD
T01_1983,B01,1983-04,1983-02,-0.0469340360503452,-0.039188243526941835,1983-03,-0.019047619047619,0.0799086757990867
T01_1983,B01,1983-05,1983-03,-0.0324616462389188,-0.01834862385321101,1983-04,-0.090069284064665,0.1004566210045662
T01_1983,B01,1983-06,1983-04,-0.0110830361691288,0.01711840228245376,1983-05,-0.1278538812785388,0.1278538812785388
T01_1983,B01,1983-07,1983-05,0.0015508233107617,0.036637931034482873,1983-06,-0.0605326876513316,0.0817307692307692
T02_1984,B01,1984-04,1984-02,0.1222242563121669,0.15785662563359892,1984-03,-0.1370558375634517,0.1370558375634517
T02_1984,B01,1984-05,1984-03,0.1182800410646769,0.1478571428571427,1984-04,-0.1049868766404199,0.1076115485564304
T02_1984,B01,1984-06,1984-04,0.1108340837112695,0.1437587657784012,1984-05,-0.0928381962864721,0.1005291005291005
T02_1984,B01,1984-07,1984-05,0.1101653083838036,0.13019390581717438,1984-06,-0.1534391534391535,0.1534391534391535
T02_1984,B01,1984-08,1984-06,0.1074527207214544,0.11748633879781423,1984-07,-0.1293103448275862,0.1293103448275862
T03_1987,B02,1987-02,1986-12,0.0152107097248976,0.0079617834394905,1987-01,0.1053921568627451,0.0217391304347825
T03_1987,B02,1987-03,1987-01,0.0061006563452385,0.005546751188589605,1987-02,0.1496259351620947,0.0217391304347825
T03_1987,B02,1987-04,1987-02,0.0265676484189838,0.01596169193934549,1987-03,0.1246943765281174,0.0217391304347825
T03_1987,B02,1987-05,1987-03,0.0354296110984762,0.025080906148867488,1987-04,0.0616438356164383,0.0217391304347825
T03_1987,B02,1987-06,1987-04,0.0404932296293873,0.012830793905372895,1987-05,0.0173913043478259,0.0217391304347825
T04_1987,B02,1987-09,1987-07,0.0554948316298462,0.03923138510808655,1987-08,-0.0412147505422993,0.0905349794238683
T04_1987,B02,1987-10,1987-08,0.0653936874396037,0.044764188649080605,1987-09,-0.0347826086956521,0.0905349794238683
T05_1988,B02,1988-04,1988-02,0.0681501033830451,0.05743509047993722,1988-03,-0.0698198198198197,0.0862831858407079
T05_1988,B02,1988-05,1988-03,0.0692376356971911,0.05651491365777073,1988-04,-0.0995575221238938,0.0995575221238938
T05_1988,B02,1988-06,1988-04,0.0686745788814757,0.06436420722134994,1988-05,-0.0687361419068736,0.097560975609756
T05_1988,B02,1988-07,1988-05,0.0598189900784631,0.0608424336973481,1988-06,-0.0709534368070953,0.097560975609756
T05_1988,B02,1988-08,1988-06,0.0574168791331712,0.05809450038729658,1988-07,-0.0776255707762557,0.0776255707762557
T05_1988,B02,1988-09,1988-07,0.0504082241478043,0.05436447166921887,1988-08,-0.099767981438515,0.099767981438515
T05_1988,B02,1988-10,1988-08,0.0478102090409708,0.05335365853658547,1988-09,-0.0556900726392252,0.0761904761904761
T05_1988,B02,1988-11,1988-09,0.0404372566535187,0.05572519083969474,1988-10,-0.0565110565110564,0.0857142857142857
T05_1988,B02,1988-12,1988-10,0.0311854937187401,0.050566037735849,1988-11,-0.1166666666666667,0.1166666666666667
T05_1988,B02,1989-01,1988-11,0.0286619856640133,0.050300300300300416,1988-12,-0.1217183770883054,0.1217183770883054
T05_1988,B02,1989-02,1988-12,0.0275585793625174,0.04705003734129942,1989-01,-0.0717821782178217,0.089108910891089
T05_1988,B02,1989-03,1989-01,0.0307926142760639,0.049851190476190466,1989-02,-0.0592783505154639,0.0641025641025641
T05_1988,B02,1989-04,1989-02,0.0211135694551758,0.049851190476190466,1989-03,-0.0717948717948717,0.0717948717948717
T05_1988,B02,1989-05,1989-03,0.0211470482382116,0.04677060133630295,1989-04,-0.0442708333333333,0.0572916666666666
T06_1994,B03,1994-03,1994-01,0.0330862660957493,0.04761904761904767,1994-02,-0.0052356020942407,0.0182291666666666
