content_id,claim_id,claim_family,evidence_time,support_status,freshness_rule,source_files,official_source_urls
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,CLM-PHASE-DXY-FIRST_CUT,CORE_PHASE_DISTRIBUTION,DESCRIPTIVE_PATH,SUPPORTED_DESCRIPTIVE,STATIC_UNLESS_UPSTREAM_REBUILT,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,CLM-PHASE-GOLD-FIRST_CUT,CORE_PHASE_DISTRIBUTION,DESCRIPTIVE_PATH,PRIMARY_SUPPORTED,STATIC_UNLESS_UPSTREAM_REBUILT,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,CLM-PHASE-NASDAQ-FIRST_CUT,CORE_PHASE_DISTRIBUTION,DESCRIPTIVE_PATH,PRIMARY_SUPPORTED,STATIC_UNLESS_UPSTREAM_REBUILT,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,CLM-PHASE-SP500-FIRST_CUT,CORE_PHASE_DISTRIBUTION,DESCRIPTIVE_PATH,PRIMARY_SUPPORTED,STATIC_UNLESS_UPSTREAM_REBUILT,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,CLM-PHASE-WTI-FIRST_CUT,CORE_PHASE_DISTRIBUTION,DESCRIPTIVE_PATH,PRIMARY_SUPPORTED,STATIC_UNLESS_UPSTREAM_REBUILT,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,CLM-SYNTH-017-FIRSTCUT-RECOVERY,SYNTHESIS,RESEARCH_CONCLUSION,SUPPORTED_DESCRIPTIVE_SYNTHESIS,STATIC_UNLESS_UPSTREAM_REBUILT,results/fed_cycle_total_risk_clock_v1/SUPPORTED_TOTAL_CLOCK_SUMMARY.csv,N/A_REPO_DERIVED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,CLM-GUARD-019,METHOD_GUARDRAIL,RESEARCH_CONCLUSION,SIMPLE_STATE_RULE_NOT_SUPPORTED,STATIC_UNLESS_NEW_PREREGISTERED_EVIDENCE,results/fed_cycle_precut_state_v1/FED_CYCLE_PRECUT_STATE_019_REPORT.md,N/A_REPO_DERIVED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,CLM-GUARD-020,METHOD_GUARDRAIL,RESEARCH_CONCLUSION,CONTINUOUS_LEVEL_RULE_NOT_SUPPORTED,STATIC_UNLESS_NEW_PREREGISTERED_EVIDENCE,results/fed_cycle_precut_stress_level_v1/FED_CYCLE_PRECUT_STRESS_LEVEL_020_REPORT.md,N/A_REPO_DERIVED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,CLM-CASE-B04,HISTORICAL_CASE,DESCRIPTIVE_PATH,CASE_DESCRIPTIVE,STATIC_UNLESS_UPSTREAM_REBUILT,results/fed_cycle_historical_casebook_v1/CASEBOOK_ASSET_PHASE_METRICS.csv,N/A_REPO_DERIVED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,CLM-CASE-B05,HISTORICAL_CASE,DESCRIPTIVE_PATH,CASE_DESCRIPTIVE,STATIC_UNLESS_UPSTREAM_REBUILT,results/fed_cycle_historical_casebook_v1/CASEBOOK_ASSET_PHASE_METRICS.csv,N/A_REPO_DERIVED
