asset_id,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,ret_24m,mdd_24m,mdd_trough_month_24m,diagnostic_status,dual_bridge_status
FRESX_REIT_ACTIVE_PROXY,FIRST_HIKE,T03_1987,B02,1987-01-05,0.3333333333333333,0.022344093032102386,0.16100025945989827,10,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_HIKE,T04_1987,B02,1987-08-27,0.3333333333333333,0.11498516370278011,0.1469906981883493,3,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_HIKE,T05_1988,B02,1988-03-30,0.3333333333333333,0.12569428102729563,0.045276438516753115,24,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,0.161936723489001,0.10714125792116558,9,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,0.25686483678871563,0.14306668366410003,6,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,0.7378971302935788,0.045597862689326196,16,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.1554072799904076,0.11333436285051912,11,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,-0.08297437568497679,0.26318839322105003,19,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,0.012379513845018897,0.1469906981883493,6,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,0.13284729037408138,0.1316922154134441,2,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,0.2539947093813264,0.16363669553547244,17,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,0.5849967494348549,0.022462878580402745,9,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,0.481049037622594,0.06455694589600791,17,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.015549020580062356,0.3274053816023933,19,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.06077951533652137,0.2331832077542546,16,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,0.18838887080040356,0.08798190104489312,3,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,PAUSE_START,T04_1987,B02,1987-11-03,1.0,0.20249945117632095,0.04081919245821508,24,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,PAUSE_START,T06_1994,B03,1995-03-28,1.0,0.6288608653177428,0.022462878580402745,8,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,PAUSE_START,T07_1999,B04,2000-06-28,1.0,0.434071084236229,0.06455694589600791,16,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,PAUSE_START,T08_2004,B05,2006-08-08,1.0,-0.056396518534586826,0.3274053816023933,17,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.08739823423759452,0.2331832077542546,15,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.19115597138017848,0.08541345416321489,1,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,0.10273711854300549,0.13553439463659,4,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,0.20249945117632095,0.04081919245821508,24,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,0.2196913901254769,0.16363669553547244,16,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,0.6177586820900758,0.04834886091958812,21,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,0.15454820064115649,0.11087251755932415,21,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,-0.3415951747044148,0.6722372864625179,18,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
FRESX_REIT_ACTIVE_PROXY,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.22344559775360429,0.2331832077542546,9,SECONDARY_24M_DESCRIPTIVE,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
