cycle_id,broad_episode_id,panel_month,first_hike,GOLD_RET_3M_LAGGED,GOLD_RET_6M_LAGGED,GOLD_VOL_6M_LAGGED,CYCLE_AGE_MONTHS,RT_IPT_YOY,RT_IPT_VINTAGE_PERIOD,INDPRO_YOY,GOLD_FWD_6M_RET,TARGET_END_PERIOD
T01_1983,B01,1983-04,1983-03-31,-0.0561797752808989,-0.0389016018306636,0.08599893459144511,1,-0.0391882435269418,1983-03,-0.0469340360503452,-0.019047619047619,1983-09
T01_1983,B01,1983-05,1983-03-31,-0.0997920997920998,0.026066350710900466,0.08583749609496076,2,-0.018348623853211,1983-04,-0.0324616462389188,-0.090069284064665,1983-10
T01_1983,B01,1983-06,1983-03-31,-0.10794297352342164,0.055421686746987886,0.0852265715649038,3,0.0171184022824537,1983-05,-0.0110830361691288,-0.1278538812785388,1983-11
T01_1983,B01,1983-07,1983-03-31,-0.01666666666666672,-0.07191011235955058,0.08301469632301203,4,0.0366379310344828,1983-06,0.0015508233107617,-0.0605326876513316,1983-12
T02_1984,B01,1984-04,1984-03-29,0.015463917525773141,-0.043689320388349495,0.03704507053858999,1,0.1578566256335989,1984-03,0.1222242563121669,-0.1370558375634517,1984-09
T02_1984,B01,1984-05,1984-03-29,0.02695417789757415,-0.032994923857868064,0.035033560225244245,2,0.1478571428571427,1984-04,0.1182800410646769,-0.1049868766404199,1984-10
T02_1984,B01,1984-06,1984-03-29,-0.023316062176165775,-0.01308900523560208,0.03301558634160906,3,0.1437587657784012,1984-05,0.1108340837112695,-0.0928381962864721,1984-11
T02_1984,B01,1984-07,1984-03-29,-0.040609137055837574,-0.02577319587628868,0.03202991754933351,4,0.1301939058171743,1984-06,0.1101653083838036,-0.1534391534391535,1984-12
T02_1984,B01,1984-08,1984-03-29,-0.08661417322834641,-0.061994609164420456,0.043338524514649944,5,0.1174863387978142,1984-07,0.1074527207214544,-0.1293103448275862,1985-01
T03_1987,B02,1987-02,1987-01-05,-0.037735849056603765,0.17241379310344818,0.061937833371007035,1,0.0079617834394905,1987-01,0.0152107097248976,0.1053921568627451,1987-07
T03_1987,B02,1987-03,1987-01-05,0.007537688442211143,0.06366047745358094,0.057716970895789727,2,0.0055467511885896,1987-02,0.0061006563452385,0.1496259351620947,1987-08
T03_1987,B02,1987-04,1987-01-05,0.04603580562659837,-0.021531100478468845,0.03726817693447782,3,0.0159616919393454,1987-03,0.0265676484189838,0.1246943765281174,1987-09
T03_1987,B02,1987-05,1987-01-05,0.07352941176470584,0.03301886792452824,0.04761786835347868,4,0.0250809061488674,1987-04,0.0354296110984762,0.0616438356164383,1987-10
T03_1987,B02,1987-06,1987-01-05,0.1471321695760599,0.1557788944723617,0.03582489847924738,5,0.0128307939053728,1987-05,0.0404932296293873,0.0173913043478259,1987-11
T04_1987,B02,1987-09,1987-08-27,0.0021739130434783593,0.14962593516209477,0.03229007303731106,1,0.0392313851080865,1987-08,0.0554948316298462,-0.0412147505422993,1988-02
T04_1987,B02,1987-10,1987-08-27,0.022222222222222143,0.12469437652811743,0.033960838174229936,2,0.0447641886490806,1987-09,0.0653936874396037,-0.0347826086956521,1988-03
T05_1988,B02,1988-04,1988-03-30,-0.0864197530864198,-0.034782608695652195,0.0388610531909564,1,0.0574350904799372,1988-03,0.0681501033830451,-0.0698198198198197,1988-09
T05_1988,B02,1988-05,1988-03-30,-0.052410901467505266,-0.027956989247311825,0.03956717192225586,2,0.0565149136577707,1988-04,0.0692376356971911,-0.0995575221238938,1988-10
T05_1988,B02,1988-06,1988-03-30,0.020361990950226172,-0.03632478632478631,0.03923564530425249,3,0.0643642072213499,1988-05,0.0686745788814757,-0.0687361419068736,1988-11
T05_1988,B02,1988-07,1988-03-30,0.015765765765765716,-0.07201646090534974,0.0333765850649342,4,0.0608424336973481,1988-06,0.0598189900784631,-0.0709534368070953,1988-12
T05_1988,B02,1988-08,1988-03-30,-0.030973451327433676,-0.08176100628930816,0.0340425830830569,5,0.0580945003872965,1988-07,0.0574168791331712,-0.0776255707762557,1989-01
T05_1988,B02,1988-09,1988-03-30,-0.04434589800443456,-0.02488687782805432,0.016452090679844038,6,0.0543644716692188,1988-08,0.0504082241478043,-0.099767981438515,1989-02
T05_1988,B02,1988-10,1988-03-30,-0.0842572062084257,-0.06981981981981977,0.02184342563759837,7,0.0533536585365854,1988-09,0.0478102090409708,-0.0556900726392252,1989-03
T05_1988,B02,1988-11,1988-03-30,-0.07077625570776258,-0.0995575221238938,0.016254850905050848,8,0.0557251908396947,1988-10,0.0404372566535187,-0.0565110565110564,1989-04
T05_1988,B02,1988-12,1988-03-30,-0.025522041763341052,-0.0687361419068736,0.02566116201494916,9,0.050566037735849,1988-11,0.0311854937187401,-0.1166666666666667,1989-05
T05_1988,B02,1989-01,1988-03-30,0.014527845036319542,-0.07095343680709532,0.025458304008549443,10,0.0503003003003004,1988-12,0.0286619856640133,-0.1217183770883054,1989-06
T05_1988,B02,1989-02,1988-03-30,-0.0073710073710073765,-0.07762557077625576,0.026565850852117573,11,0.0470500373412994,1989-01,0.0275585793625174,-0.0717821782178217,1989-07
T05_1988,B02,1989-03,1988-03-30,-0.07619047619047614,-0.09976798143851506,0.028806984103307846,12,0.0498511904761904,1989-02,0.0307926142760639,-0.0592783505154639,1989-08
T05_1988,B02,1989-04,1988-03-30,-0.06921241050119331,-0.05569007263922521,0.027017010774741897,13,0.0498511904761904,1989-03,0.0211135694551758,-0.0717948717948717,1989-09
T05_1988,B02,1989-05,1988-03-30,-0.04950495049504955,-0.05651105651105648,0.027052057814631988,14,0.0467706013363029,1989-04,0.0211470482382116,-0.0442708333333333,1989-10
T06_1994,B03,1994-03,1994-02-04,0.021390374331550888,0.0079155672823219,0.035980634764360336,1,0.0476190476190476,1994-02,0.0330862660957493,-0.0052356020942407,1994-08
T06_1994,B03,1994-04,1994-02-04,0.0026109660574411553,0.08169014084507031,0.015513870491639022,2,0.0473157415832574,1994-03,0.0287341181255573,0.0208333333333332,1994-09
T06_1994,B03,1994-05,1994-02-04,-0.025839793281653756,0.03571428571428581,0.018641432376110156,3,0.0509090909090907,1994-04,0.0401374201646205,0.0344827586206897,1994-10
T06_1994,B03,1994-06,1994-02-04,-0.002617801047120394,0.018716577540107027,0.015889078179661908,4,0.0497737556561086,1994-05,0.0434260442472023,0.0078740157480314,1994-11
T06_1994,B03,1994-07,1994-02-04,0.005208333333333259,0.007832898172323688,0.013520487306453983,5,0.0554545454545454,1994-06,0.0522088787354901,-0.0181347150259066,1994-12
