anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,ret_6m,ret_12m,ret_24m,decline_24m,trough_month_24m,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months,mortgage_baseline_level,mortgage_change_3m_pp,mortgage_change_6m_pp,mortgage_change_12m_pp,mortgage_change_24m_pp,mortgage_max_increase_24m_pp,mortgage_max_pressure_month_24m,mortgage_min_change_24m_pp,mortgage_min_rate_month_24m,mortgage_absolute_peak_level_m12_p24,mortgage_absolute_peak_month_m12_p24,dgs10_baseline_level,dgs10_change_3m_pp,dgs10_change_6m_pp,dgs10_change_12m_pp,dgs10_change_24m_pp,spread_baseline_level,spread_change_3m_pp,spread_change_6m_pp,spread_change_12m_pp,spread_change_24m_pp,spread_max_increase_24m_pp,spread_max_pressure_month_24m,houst_change_3m,houst_change_6m,houst_change_12m,houst_change_24m,houst_min_change_24m,houst_trough_month_24m,houst_max_change_24m,permit_change_3m,permit_change_6m,permit_change_12m,permit_change_24m,permit_min_change_24m,permit_trough_month_24m,permit_max_change_24m,sales_change_3m,sales_change_6m,sales_change_12m,sales_change_24m,sales_min_change_24m,sales_trough_month_24m,sales_max_change_24m,activity_median_trough_month_24m,activity_after_mortgage_months,price_after_activity_months,price_after_mortgage_months,activity_after_cycle_mortgage_peak_months,price_after_cycle_mortgage_peak_months,forward_mortgage_before_or_same_activity,cycle_mortgage_peak_before_or_same_activity,activity_before_or_same_price_positive_decline,cycle_mortgage_peak_before_or_same_price_positive_decline,ordering_diagnostic_status,causal_status,interpretation_guardrail
FIRST_HIKE,T04_1987,B02,1987-08-27,0.5,0.031908362656285,0.0808265329040953,0.1420079359137531,0.0,,,,False,False,,10.278,0.3719999999999999,-0.3855000000000004,0.3194999999999997,-0.29300000000000104,0.9819999999999993,2,-0.3955000000000002,23,11.26,2,8.44681818181818,0.41370813397129247,-0.2348181818181807,0.8136166007905157,-0.33420948616600654,1.83118181818182,-0.04170813397129258,-0.1506818181818197,-0.494116600790516,0.041209486166005505,0.08754545454545237,22,0.014383989993746127,-0.13612674588284346,-0.07483844069209933,-0.13362518240567023,-0.15217844486137166,22,0.016260162601626105,-0.026443367122080175,-0.11260467166152499,-0.03393565447333635,-0.1319964742177171,-0.1319964742177171,24,0.0024239753195238745,-0.002569373072970116,-0.05292908530318596,0.07091469681397733,0.06372045220966083,-0.07656731757451174,20,0.08376156217882835,22.0,20.0,,,20.0,,1.0,1.0,,,POST_RUN_DIAGNOSTIC__ANCHOR_RESET_AUDIT,NONE,"timing differences are descriptive sequencing, not causal transmission lags"
FIRST_HIKE,T05_1988,B02,1988-03-30,0.5,0.0530500899645947,0.0797202391316964,0.1142550351152129,0.0002875140489819,21.0,1.0,1.0,True,True,60.0,9.8925,0.5675000000000008,0.5875000000000004,1.1395,0.3755000000000006,1.1575000000000006,13,-0.1485000000000003,21,11.26,-5,8.212,0.7093636363636371,0.7651428571428571,1.1457272727272727,0.3766363636363632,1.6805000000000003,-0.1418636363636363,-0.17764285714285677,-0.006227272727272748,-0.0011363636363626028,0.25938095238095116,19,0.07915057915057933,0.07432432432432434,0.0781853281853282,0.03209459459459474,-0.031853281853281845,21,0.14695945945945943,0.08219518251800362,0.07648373479016635,0.008939657313136395,0.0735038490191211,-0.0238390861683635,18,0.1236652594983858,0.13944655453065646,0.12316874660878985,0.03526858383071074,-0.031470428648942006,-0.031470428648942006,24,0.14432989690721643,21.0,8.0,0.0,8.0,26.0,26.0,1.0,1.0,1.0,1.0,POST_RUN_DIAGNOSTIC__ANCHOR_RESET_AUDIT,NONE,"timing differences are descriptive sequencing, not causal transmission lags"
FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,0.0270850916903246,0.0229289751656054,0.0409345507557739,0.0043316446557711,12.0,2.0,2.0,True,True,60.0,7.0600000000000005,1.5374999999999996,1.4524999999999988,1.7675,0.01499999999999968,2.138,10,-0.030000000000001137,23,9.198,10,5.750500000000001,1.432833333333332,1.4855869565217388,1.7189736842105248,0.054999999999999716,1.3094999999999999,0.10466666666666757,-0.033086956521739985,0.048526315789475305,-0.040000000000000036,0.17900000000000027,22,0.08945228414254958,0.027983735948337696,-0.0007175316909829865,0.049748863908155805,-0.0839512078450132,15,0.08945228414254958,-0.01853612167300378,-0.03303231939163509,-0.06558935361216733,0.009743346007604403,-0.11145437262357427,14,0.015209125475285079,-0.03181818181818186,-0.13409090909090915,-0.17545454545454553,-0.003636363636363771,-0.1836363636363637,14,-0.003636363636363771,14.0,4.0,-2.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,POST_RUN_DIAGNOSTIC__ANCHOR_RESET_AUDIT,NONE,"timing differences are descriptive sequencing, not causal transmission lags"
FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,0.0438443791946308,0.0995805369127516,0.1878355704697987,0.0,,,,False,False,,7.145,0.6775000000000002,0.7670000000000012,1.1430000000000007,0.01499999999999968,1.370000000000001,11,-0.19299999999999962,21,8.515,11,5.539499999999999,0.37573809523809576,0.735954545454546,0.5577727272727282,-0.2552142857142856,1.6055000000000001,0.30176190476190445,0.031045454545455264,0.5852272727272725,0.2702142857142853,0.5959130434782605,14,0.01600328272466145,0.018465326220763245,-0.023389413212966725,0.003282724661469061,-0.07447681575707832,15,0.04247025030775542,-0.00020387359836893104,0.020183486238532167,-0.03934760448521912,0.010601427115188633,-0.05056065239551488,13,0.04016309887869518,-0.018733608092918685,-0.02285500187336076,-0.06669164481079048,0.0026227051330085516,-0.06669164481079048,12,0.07980517047583358,13.0,2.0,,,2.0,,1.0,1.0,,,POST_RUN_DIAGNOSTIC__ANCHOR_RESET_AUDIT,NONE,"timing differences are descriptive sequencing, not causal transmission lags"
FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,0.0696733744564666,0.159652138740014,0.2441230997404522,0.0,,,,False,False,,6.27,-0.516,-0.5179999999999998,-0.6879999999999997,0.4119999999999999,0.4119999999999999,24,-0.6879999999999997,12,6.6819999999999995,24,4.7155000000000005,-0.589785714285715,-0.48459090909090996,-0.7173181818181824,0.39086363636363597,1.554499999999999,0.07378571428571501,-0.033409090909089834,0.029318181818182687,0.021136363636363953,0.25035714285714405,18,-0.00852557673019061,-0.01437646272149784,0.02875292544299568,-0.06970912738214641,-0.06970912738214641,24,0.07221664994984955,-0.012249443207127064,-0.0044543429844098315,0.0202036271078585,-0.08208717785555208,-0.08208717785555208,24,0.06347438752783963,-0.061031596003240596,0.006211180124223725,0.03159600324061573,-0.11342155009451793,-0.11342155009451793,24,0.06643262219821766,24.0,0.0,,,0.0,,1.0,1.0,,,POST_RUN_DIAGNOSTIC__ANCHOR_RESET_AUDIT,NONE,"timing differences are descriptive sequencing, not causal transmission lags"
FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.0387349882647203,0.0528858508505936,0.1181808318057482,0.0005824810265371,1.0,1.0,1.0,True,True,60.0,3.9425,-0.24849999999999994,-0.37449999999999983,0.2555000000000005,0.007500000000000284,0.2555000000000005,12,-0.5074999999999998,8,4.198,12,2.263157894736842,-0.3740669856459329,-0.6190669856459328,0.2287468671679198,0.13934210526315782,1.6793421052631579,0.12556698564593294,0.24456698564593293,0.026753132832080695,-0.13184210526315754,0.2566578947368421,7,-0.007527504342790814,0.01737116386797921,0.07266936884771291,0.0732484076433122,-0.022582513028372886,0,0.07498552403011005,-0.02452085682074412,0.0070462232243517775,0.05186020293122873,0.11781285231116123,-0.027621195039458923,4,0.11781285231116123,0.07766990291262132,0.18169209431345346,0.1837725381414701,0.36407766990291246,0.06241331484049928,0,0.3689320388349513,0.0,-12.0,1.0,-11.0,-12.0,-11.0,0.0,0.0,1.0,0.0,POST_RUN_DIAGNOSTIC__ANCHOR_RESET_AUDIT,NONE,"timing differences are descriptive sequencing, not causal transmission lags"
FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,0.0460017137005481,0.03589366697086,0.1035952880201185,0.0499310210507523,10.0,3.0,5.0,True,True,41.0,3.7625,1.7595,2.3495,2.7814999999999994,3.0575,3.8575,19,0.40949999999999953,0,7.62,19,1.9342105263157894,1.2091228070175442,1.58483709273183,1.7288329519450802,2.2742894736842105,1.8282894736842108,0.5503771929824559,0.7646629072681699,1.0526670480549192,0.7832105263157896,1.1376152882205512,15,-0.043825477210751806,-0.1439423451499805,-0.19770159719516944,-0.17608102843786522,-0.21133619010518112,11,0.0200623295675888,-0.06525198938992038,-0.14093722369584438,-0.20512820512820518,-0.18744473916887705,-0.2502210433244917,10,0.0022988505747125743,-0.2465753424657534,-0.2855956828559568,-0.20091324200913252,-0.16272312162723113,-0.2855956828559568,6,-0.04400166044001663,10.0,-9.0,0.0,-9.0,-9.0,-9.0,0.0,0.0,1.0,0.0,POST_RUN_DIAGNOSTIC__ANCHOR_RESET_AUDIT,NONE,"timing differences are descriptive sequencing, not causal transmission lags"
LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,0.0480206858338978,0.0836668103182911,0.1588838268792711,0.0,,,,False,False,,9.8325,0.4975000000000005,0.8175000000000008,0.6225000000000005,0.9400000000000013,1.4275000000000002,5,0.0600000000000005,9,11.26,5,8.022857142857143,0.737619047619047,0.8376691729323298,1.0661904761904761,0.8362337662337662,1.8096428571428564,-0.24011904761904646,-0.020169172932329005,-0.44369047619047564,0.10376623376623506,0.32558441558441586,1,-0.06830601092896182,-0.050351288056206034,-0.1167056986729117,-0.20140515222482436,-0.20140515222482436,24,-0.030444964871194413,-0.08910692831397682,-0.11533840608730472,-0.11934321185422514,-0.2048458149779736,-0.2048458149779736,24,-0.03784541449739687,-0.1045871559633027,-0.10963302752293569,-0.05871559633027523,-0.160091743119266,-0.17568807339449533,23,-0.032568807339449446,24.0,19.0,,,19.0,,1.0,1.0,,,POST_RUN_DIAGNOSTIC__ANCHOR_RESET_AUDIT,NONE,"timing differences are descriptive sequencing, not causal transmission lags"
LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,0.0305638555649705,0.0788327461386373,0.1360061841264177,0.0,,,,False,False,,10.33,0.3100000000000005,-0.40000000000000036,0.15000000000000036,-0.20399999999999885,0.9299999999999997,1,-0.4474999999999998,22,11.26,1,8.76047619047619,0.22725108225108137,-0.3869979296066255,0.21666666666666679,-0.56997619047619,1.56952380952381,0.08274891774891913,-0.013002070393374865,-0.06666666666666643,0.3659761904761911,0.3659761904761911,24,-0.04252199413489732,-0.10431503979891077,-0.0674486803519061,-0.15416841223292832,-0.15416841223292832,24,0.021156263091747007,-0.06594856012310402,-0.07518135854033858,-0.047043306221147496,-0.13585403385359418,-0.13585403385359418,24,-0.001758628269949325,-0.0420081967213114,-0.017930327868852403,0.06045081967213117,0.0589139344262295,-0.07940573770491799,19,0.08043032786885251,24.0,23.0,,,23.0,,1.0,1.0,,,POST_RUN_DIAGNOSTIC__ANCHOR_RESET_AUDIT,NONE,"timing differences are descriptive sequencing, not causal transmission lags"
LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,0.022052439659663,0.0324575580696433,0.0119812467442264,0.0312923065021466,22.0,4.0,28.0,True,True,60.0,11.05,-1.0650000000000013,-1.2825000000000006,-0.5725000000000016,-1.5780000000000012,-0.27749999999999986,0,-1.6850000000000005,21,11.05,-1,9.1755,-1.0628913043478256,-1.301214285714285,-0.4173181818181817,-1.1077727272727262,1.8745000000000012,-0.0021086956521756406,0.01871428571428435,-0.15518181818181986,-0.47022727272727494,0.06538095238095032,5,-0.007166746297181059,-0.03487816531294785,-0.10439560439560425,-0.30291447682752026,-0.3588150979455327,22,0.021739130434782705,-0.008557764913163846,0.012584948401711538,-0.13189025924993691,-0.29071230807953685,-0.37075257991442223,21,0.13616914170651917,0.15191986644407351,0.09515859766277135,-0.08180300500834725,-0.14746800222593204,-0.25041736227045075,21,0.15191986644407351,21.0,21.0,1.0,22.0,22.0,23.0,1.0,1.0,1.0,1.0,POST_RUN_DIAGNOSTIC__ANCHOR_RESET_AUDIT,NONE,"timing differences are descriptive sequencing, not causal transmission lags"
