event_type,metric,n,mean,median,q25,q75,min,max
FIRST_CUT,ret_1m,10,0.03672452903044482,0.023388475323959268,-0.005036540973129167,0.07809194201384351,-0.03321033210332103,0.13533834586466176
FIRST_CUT,ret_3m,10,0.015322341037324239,-0.018572679022980487,-0.04724437566956313,0.0623819163292848,-0.08045977011494254,0.2075187969924812
FIRST_CUT,ret_6m,10,0.08227353049425698,0.04417525773195874,-0.025348172836567096,0.13734830093476852,-0.0977011494252874,0.45563909774436095
FIRST_CUT,ret_12m,10,0.07369626105391294,-0.01977663230240545,-0.06668254484617533,0.19623782703992454,-0.1364764267990074,0.4850202429149797
FIRST_CUT,ret_24m,9,0.07458752973613306,-0.010781671159029615,-0.1649484536082474,0.31734317343173424,-0.18114143920595538,0.49863157894736854
FIRST_CUT,mdd_24m,10,0.1839448804469403,0.1943227091633466,0.14457227321591,0.23555950923375166,0.040590405904059046,0.27427184466019416
FIRST_CUT,mae,10,-0.10593485099141872,-0.09600876785327012,-0.17790378006872848,-0.010147601476014761,-0.25806451612903225,0.0
FIRST_CUT,mfe,10,0.28136697449606285,0.16256932180809858,0.053870967741935505,0.4159803849694126,0.022332506203474045,1.0323886639676112
FIRST_CUT,time_to_event_min_months,10,10.7,8.5,0.75,21.0,0.0,24.0
FIRST_CUT,recovery50_months_from_trough,6,4.666666666666667,2.0,2.0,2.75,1.0,18.0
FIRST_CUT,recovery100_months_from_trough,5,14.4,17.0,10.0,19.0,1.0,25.0
FIRST_CUT,rv_12m_ann,10,0.11499399932138898,0.10941430192616869,0.0973991013969793,0.13017211859374872,0.05063474925777597,0.2140535631520443
FIRST_CUT,down_semivol_12m_ann,10,0.07445689280841823,0.09378070142649077,0.03104192136828212,0.10064377308513388,0.015828303547713637,0.13782872765499285
FIRST_HIKE,ret_1m,10,-0.005198951235749161,0.015502688929450836,-0.01165301040285982,0.024837694275034405,-0.11812627291242361,0.043642241379310276
FIRST_HIKE,ret_3m,10,0.013417607114581809,0.005062460992354467,-0.019420010443025243,0.05043912832594233,-0.15885947046843174,0.14640883977900554
FIRST_HIKE,ret_6m,10,0.0026800353380288635,-0.019021754699576565,-0.08711930975971291,0.11962182971014496,-0.16089613034623218,0.17495395948434633
FIRST_HIKE,ret_12m,10,-0.009725195004450737,0.002435706807449034,-0.09932176861875572,0.058091120185763456,-0.19755600814663954,0.21994884910485935
FIRST_HIKE,ret_24m,10,0.01710608343140695,0.005754475703324824,-0.10905153213138588,0.13366454490777863,-0.36048879837067205,0.5520833333333333
FIRST_HIKE,mdd_24m,10,0.18300340579904564,0.1663557090495283,0.13766027246318746,0.218820211839149,0.03826530612244894,0.3910386965376782
FIRST_HIKE,mae,10,-0.11898619713658035,-0.08795602198900548,-0.1882643898425821,-0.006459948320413439,-0.3910386965376782,0.0
FIRST_HIKE,mfe,10,0.16709335666874925,0.1022084578553295,0.02859623276859935,0.21609324395122875,0.0,0.7578125
FIRST_HIKE,time_to_event_min_months,10,8.6,4.5,0.25,16.25,0.0,24.0
FIRST_HIKE,recovery50_months_from_trough,8,7.5,6.0,3.0,10.25,2.0,19.0
FIRST_HIKE,recovery100_months_from_trough,6,14.833333333333334,12.0,10.25,17.5,6.0,30.0
FIRST_HIKE,rv_12m_ann,10,0.11644620769817089,0.1105945775577151,0.08837685865390466,0.13583872114417025,0.05137651670439942,0.2130688556957911
FIRST_HIKE,down_semivol_12m_ann,10,0.07888066097079363,0.08934080881568149,0.05666030471338317,0.09576277917546296,0.03022071213453653,0.12820815016294457
LAST_HIKE,ret_1m,10,0.0008151806831962483,0.008296178435087231,-0.02032938754503344,0.022106522509748372,-0.06074074074074076,0.05814905814905824
LAST_HIKE,ret_3m,10,-0.007845728771472205,-0.015568708183221813,-0.042046874999999956,0.0433413452849965,-0.1140740740740741,0.06552006552006562
LAST_HIKE,ret_6m,10,-0.006894690887461452,-0.011841871805584936,-0.04804590570719605,0.04163651033624988,-0.1408045977011494,0.11302211302211296
LAST_HIKE,ret_12m,10,0.015565400100584381,-0.028359788359788363,-0.048558728448275856,0.058871278659293313,-0.1364764267990074,0.23417395779722083
LAST_HIKE,ret_24m,10,0.10588884784327135,0.00651041666666663,-0.13583420681678535,0.2681349206349206,-0.2147505422993492,0.7189912506433351
LAST_HIKE,mdd_24m,10,0.15006792854543805,0.1420072371221796,0.10114478114478118,0.2164379607425171,0.015613382899628214,0.27427184466019416
LAST_HIKE,mae,10,-0.11515302040071669,-0.10814228476497606,-0.14992717682254764,-0.07440476190476189,-0.25806451612903225,0.0
LAST_HIKE,mfe,10,0.23178210919373177,0.0977632705479452,0.07228452066842572,0.3559126984126984,0.022332506203474045,0.7256819351518271
LAST_HIKE,time_to_event_min_months,10,12.6,12.0,4.5,22.5,0.0,24.0
LAST_HIKE,recovery50_months_from_trough,7,6.571428571428571,3.0,2.0,10.0,1.0,18.0
LAST_HIKE,recovery100_months_from_trough,6,13.5,13.5,7.0,18.5,1.0,28.0
LAST_HIKE,rv_12m_ann,10,0.10367527207906649,0.10444641364914084,0.09822994455758868,0.12531023578519837,0.046484183494048134,0.13123158803131757
LAST_HIKE,down_semivol_12m_ann,10,0.06625368730621833,0.07593555278693821,0.0331200307016577,0.09503522782168675,0.01262660730233913,0.11924608729813571
PAUSE_START,ret_1m,7,0.011773851419081589,0.025454545454545396,-0.012275909986642908,0.04114828441858476,-0.056782334384858024,0.05600000000000005
PAUSE_START,ret_3m,7,0.004847442185285116,-0.0036363636363636598,-0.013352550853910627,0.028988859416445578,-0.04946236559139783,0.0557582073996874
PAUSE_START,ret_6m,7,0.01918535323420031,0.01591511936339529,-0.0223264907135875,0.0867199662021656,-0.1408045977011494,0.13040000000000007
PAUSE_START,ret_12m,7,0.07445341702787545,0.04889589905362768,-0.03495297805642633,0.14959893899204235,-0.09677419354838712,0.3397602918186555
PAUSE_START,ret_24m,7,0.2514229905209965,0.16727272727272724,0.008510167992926587,0.40847192429022083,-0.15268817204301077,0.9114121938509641
PAUSE_START,mdd_24m,7,0.11748919015383427,0.13326446280991733,0.06719398910056223,0.1420072371221796,0.015613382899628214,0.25514403292181065
PAUSE_START,mae,7,-0.0819577312590909,-0.0757097791798107,-0.11019009725906276,-0.028054384385806985,-0.22150537634408607,0.0
PAUSE_START,mfe,7,0.340494854562138,0.16727272727272724,0.0788019451812555,0.5510069400630915,0.04516129032258065,0.9114121938509641
PAUSE_START,time_to_event_min_months,7,9.142857142857142,6.0,1.5,16.0,0.0,23.0
PAUSE_START,recovery50_months_from_trough,5,5.0,2.0,1.0,6.0,1.0,15.0
PAUSE_START,recovery100_months_from_trough,5,12.8,13.0,5.0,17.0,1.0,28.0
PAUSE_START,rv_12m_ann,7,0.09449383579446764,0.10218872562229916,0.08318187662864276,0.10597995122568724,0.049712881198996736,0.13123158803131757
PAUSE_START,down_semivol_12m_ann,7,0.05028707539471274,0.03670475102276388,0.028849822696742418,0.07215063135409795,0.012520419690333663,0.10078344894821088
