asset_id,asset_label,phase,source_module,support_status,weighted_median_ret_3m,weighted_median_ret_6m,weighted_median_ret_12m,weighted_median_mdd_12m,weighted_median_mdd_trough_month,promotion_allowed,interpretation_guardrail
VUSTX_LONG_TREASURY_PROXY,Long-duration Treasury proxy,FIRST_HIKE,035,SUPPORTED_PROXY_DESCRIPTIVE,-0.0218558130708209,-0.0257612110890269,0.009890670185308,0.1071626134854338,9.0,True,proxy history only; never relabel target ETF
VUSTX_LONG_TREASURY_PROXY,Long-duration Treasury proxy,LAST_HIKE,035,SUPPORTED_PROXY_DESCRIPTIVE,0.0596440247491805,0.0896108549315841,0.0988702356448025,0.0332583706537912,11.0,True,proxy history only; never relabel target ETF
VUSTX_LONG_TREASURY_PROXY,Long-duration Treasury proxy,PAUSE_START,035,SUPPORTED_PROXY_DESCRIPTIVE,0.0666908029308619,0.0821285813976044,0.1505485847969385,0.0389101045719648,10.0,True,proxy history only; never relabel target ETF
VUSTX_LONG_TREASURY_PROXY,Long-duration Treasury proxy,FIRST_CUT,035,SUPPORTED_PROXY_DESCRIPTIVE,0.0431830022765835,0.0743874913586291,0.0602152223354823,0.0452455958279005,10.0,True,proxy history only; never relabel target ETF
VGSIX_REIT_PROXY,Listed REIT proxy,FIRST_HIKE,036,LIMITED_PROXY_DESCRIPTIVE,-0.0816943701002387,-0.1341380822512594,0.0249943749777854,0.1146505641932138,7.0,True,proxy history only; never relabel target ETF
VGSIX_REIT_PROXY,Listed REIT proxy,LAST_HIKE,036,LIMITED_PROXY_DESCRIPTIVE,0.0774111439871547,0.0931517444358795,0.187861897817501,0.0433786476781722,6.0,True,proxy history only; never relabel target ETF
VGSIX_REIT_PROXY,Listed REIT proxy,PAUSE_START,036,LIMITED_PROXY_DESCRIPTIVE,0.0835225196795876,0.1056395098611351,0.2143643161962105,0.0433786476781722,5.0,True,proxy history only; never relabel target ETF
VGSIX_REIT_PROXY,Listed REIT proxy,FIRST_CUT,036,LIMITED_PROXY_DESCRIPTIVE,0.0138572665093501,0.00933767039835,-0.0475524610597721,0.0833164234209675,7.0,True,proxy history only; never relabel target ETF
FRESX_REIT_ACTIVE_PROXY,Rejected active REIT proxy,FIRST_HIKE,037,NOT_PROMOTED_DUAL_BRIDGE_FAIL,0.0489002616306497,0.0254516013551284,0.0333245049399286,0.1133343628505191,7.0,False,diagnostic only; 037 dual bridge failed; do not use as canonical REIT phase evidence
FRESX_REIT_ACTIVE_PROXY,Rejected active REIT proxy,LAST_HIKE,037,NOT_PROMOTED_DUAL_BRIDGE_FAIL,0.0652025616703828,0.0807868080649354,0.1593578370354966,0.0397749535613961,9.0,False,diagnostic only; 037 dual bridge failed; do not use as canonical REIT phase evidence
FRESX_REIT_ACTIVE_PROXY,Rejected active REIT proxy,PAUSE_START,037,NOT_PROMOTED_DUAL_BRIDGE_FAIL,0.064081155268683,0.1070449184955528,0.1716449887746807,0.0357469455705102,4.0,False,diagnostic only; 037 dual bridge failed; do not use as canonical REIT phase evidence
FRESX_REIT_ACTIVE_PROXY,Rejected active REIT proxy,FIRST_CUT,037,NOT_PROMOTED_DUAL_BRIDGE_FAIL,0.0109206712403131,0.0659514208718219,0.0164540922834806,0.0668993146015921,7.0,False,diagnostic only; 037 dual bridge failed; do not use as canonical REIT phase evidence
